connect:socket.fyers.in/hsm/v1-5/prod
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/Users/em997/Documents/Fyers/Backend/sdks/fyers-java-sdk-internal/target/dependency/hsjavalib-2.1.0-v1.5-22.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/Users/em997/Documents/Fyers/Backend/sdks/fyers-java-sdk-internal/repo/in/tts/hsjavalib/2.1.0-v1.5-22/hsjavalib-2.1.0-v1.5-22.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]
2025-11-28 10:34:21.379 INFO  [main] App3:56 - Loop 0: Subscribing [NSE:AMBUJACEM-EQ, NSE:BERGEPAINT-EQ, NSE:COLPAL-EQ, NSE:DABUR-EQ]
Loop    0: @10:34:37:022, quote : {"vol_traded_today":"95328","symbol":"NSE:DABUR-EQ","ask_size":"656","ch":"-3.55","high_price":"520.45","exch_feed_time":"1764306276","ltp":"515.6","chp":"-0.68","Yhigh":"57700","type":"sf","avg_trade_price":"517.17","ask_price":"515.85","Ylow":"43330","tot_sell_qty":"310146","bid_size":"454","last_traded_qty":"17","low_price":"515.15","open_price":"520.45","tot_buy_qty":"271873","turnover":"4930078176","last_traded_time":"1764306241","bid_price":"515.6","prev_close_price":"519.15"}
Loop    0: @10:34:40:845, quote : {"vol_traded_today":"127438","symbol":"NSE:AMBUJACEM-EQ","ask_size":"130","ch":"3.0","high_price":"551.85","exch_feed_time":"1764306280","ltp":"551.7","chp":"0.55","Yhigh":"62495","type":"sf","avg_trade_price":"549.3","ask_price":"551.7","Ylow":"45500","tot_sell_qty":"287708","bid_size":"675","last_traded_qty":"10","low_price":"546.15","open_price":"549.3","tot_buy_qty":"316787","turnover":"7000169340","last_traded_time":"1764306278","bid_price":"551.5","prev_close_price":"548.7"}
Loop    0: @10:34:40:845, quote : {"vol_traded_today":"23600","symbol":"NSE:COLPAL-EQ","ask_size":"10","ch":"-3.7","high_price":"2175.2","exch_feed_time":"1764306280","ltp":"2167.6","chp":"-0.17","Yhigh":"311500","type":"sf","avg_trade_price":"2170.52","ask_price":"2167.6","Ylow":"214780","tot_sell_qty":"53631","bid_size":"2","last_traded_qty":"1","low_price":"2165.0","open_price":"2171.3","tot_buy_qty":"53571","turnover":"5122427200","last_traded_time":"1764306276","bid_price":"2167.0","prev_close_price":"2171.3"}
Loop    0: @10:34:42:073, quote : {"vol_traded_today":"26813","symbol":"NSE:BERGEPAINT-EQ","ask_size":"35","ch":"-4.1","high_price":"570.5","exch_feed_time":"1764306281","ltp":"566.75","chp":"-0.72","Yhigh":"60500","type":"sf","avg_trade_price":"567.47","ask_price":"566.75","Ylow":"43775","tot_sell_qty":"47771","bid_size":"1","last_traded_qty":"1","low_price":"565.7","open_price":"566.25","tot_buy_qty":"17876","turnover":"1521557311","last_traded_time":"1764306216","bid_price":"566.35","prev_close_price":"570.85"}
Loop    0: @10:34:42:074, quote : {"vol_traded_today":"95328","symbol":"NSE:DABUR-EQ","ask_size":"607","ch":"-3.55","high_price":"520.45","exch_feed_time":"1764306281","ltp":"515.6","chp":"-0.68","Yhigh":"57700","type":"sf","avg_trade_price":"517.17","ask_price":"515.85","Ylow":"43330","tot_sell_qty":"310306","bid_size":"454","last_traded_qty":"17","low_price":"515.15","open_price":"520.45","tot_buy_qty":"271945","turnover":"4930078176","last_traded_time":"1764306241","bid_price":"515.6","prev_close_price":"519.15"}
Loop    0: @10:34:42:682, quote : {"vol_traded_today":"23600","symbol":"NSE:COLPAL-EQ","ask_size":"10","ch":"-4.3","high_price":"2175.2","exch_feed_time":"1764306282","ltp":"2167.0","chp":"-0.2","Yhigh":"311500","type":"sf","avg_trade_price":"2170.52","ask_price":"2167.6","Ylow":"214780","tot_sell_qty":"53631","bid_size":"2","last_traded_qty":"2","low_price":"2165.0","open_price":"2171.3","tot_buy_qty":"53571","turnover":"5122427200","last_traded_time":"1764306276","bid_price":"2167.0","prev_close_price":"2171.3"}
Loop    0: @10:34:45:117, quote : {"vol_traded_today":"127438","symbol":"NSE:AMBUJACEM-EQ","ask_size":"130","ch":"3.0","high_price":"551.85","exch_feed_time":"1764306284","ltp":"551.7","chp":"0.55","Yhigh":"62495","type":"sf","avg_trade_price":"549.3","ask_price":"551.7","Ylow":"45500","tot_sell_qty":"287708","bid_size":"675","last_traded_qty":"25","low_price":"546.15","open_price":"549.3","tot_buy_qty":"316787","turnover":"7000169340","last_traded_time":"1764306278","bid_price":"551.5","prev_close_price":"548.7"}
Loop    0: @10:34:45:117, quote : {"vol_traded_today":"95328","symbol":"NSE:DABUR-EQ","ask_size":"607","ch":"-3.55","high_price":"520.45","exch_feed_time":"1764306284","ltp":"515.6","chp":"-0.68","Yhigh":"57700","type":"sf","avg_trade_price":"517.17","ask_price":"515.85","Ylow":"43330","tot_sell_qty":"310306","bid_size":"454","last_traded_qty":"1","low_price":"515.15","open_price":"520.45","tot_buy_qty":"271945","turnover":"4930078176","last_traded_time":"1764306241","bid_price":"515.6","prev_close_price":"519.15"}
Loop    0: @10:34:45:760, quote : {"vol_traded_today":"127463","symbol":"NSE:AMBUJACEM-EQ","ask_size":"342","ch":"3.0","high_price":"551.85","exch_feed_time":"1764306285","ltp":"551.7","chp":"0.55","Yhigh":"62495","type":"sf","avg_trade_price":"549.3","ask_price":"551.75","Ylow":"45500","tot_sell_qty":"287372","bid_size":"675","last_traded_qty":"25","low_price":"546.15","open_price":"549.3","tot_buy_qty":"317247","turnover":"7001542590","last_traded_time":"1764306283","bid_price":"551.5","prev_close_price":"548.7"}
Loop    0: @10:34:45:760, quote : {"vol_traded_today":"23604","symbol":"NSE:COLPAL-EQ","ask_size":"21","ch":"-3.9","high_price":"2175.2","exch_feed_time":"1764306285","ltp":"2167.4","chp":"-0.18","Yhigh":"311500","type":"sf","avg_trade_price":"2170.52","ask_price":"2167.5","Ylow":"214780","tot_sell_qty":"53811","bid_size":"20","last_traded_qty":"2","low_price":"2165.0","open_price":"2171.3","tot_buy_qty":"53472","turnover":"5123295408","last_traded_time":"1764306284","bid_price":"2166.3","prev_close_price":"2171.3"}
